,Total_Stops,Price,Date,Month,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Min,Duration_H,Duration_M,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Kolkata,Source_Mumbai,Source_New Delhi,Destination_Cochin,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,0,3897,24,3,1,10,22,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,7662,1,5,13,15,5,50,7,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,13882,9,6,4,25,9,25,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,1,6218,12,5,23,30,18,5,5,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,1,13302,1,3,21,35,16,50,4,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,3873,24,6,11,25,9,0,2,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6,1,11087,12,3,10,25,18,55,15,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,22270,1,3,5,5,8,0,21,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,11087,12,3,10,25,8,55,25,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,8625,27,5,19,15,11,25,7,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
10,1,8907,1,6,23,0,9,45,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11,0,4174,18,4,22,55,20,20,2,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,4667,24,6,13,55,11,40,2,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13,1,9663,9,5,9,20,21,10,12,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,4804,24,4,19,50,17,15,2,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2,14011,3,3,19,15,16,40,26,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16,1,5830,15,4,13,15,8,45,4,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
17,1,10262,12,6,12,35,14,0,22,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,2,13381,12,6,19,15,20,15,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,1,12898,27,5,12,35,16,0,20,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20,1,19495,6,3,19,20,14,10,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,1,6955,21,3,13,20,22,0,15,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,0,3943,3,4,6,50,4,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,4823,1,5,21,50,18,55,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,7757,6,5,8,15,18,55,13,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
